Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Belize 17 West Caribbean 88 17 15.5 22.3 2 9.3 11.6 1.44 0.80 1.92 7 0 2 2 1 4 0 7 6 0 0
Belize 17 West Caribbean 88 17 17.2 25.8 1.9 9.7 12.8 1.50 0.76 2.02 8 0 2 2 2 5 0 7 6 1 0
Belize 17 West Caribbean 88 17 17.4 24.4 1.5 9.5 13.1 1.40 0.73 1.86 7 0 1 2 1 3 0 6 5 0 0
Belize 17 West Caribbean 88 17 17.2 24.8 1.8 9.3 12.5 1.44 0.74 1.98 7 0 2 4 1 4 1 7 5 0 0
Florida 18 West GulfofMex 82 27 17.4 27.1 1.7 10.2 13.6 1.56 0.75 1.99 8 0 3 2 2 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 12.8 18.5 0.9 7.3 10.3 1.45 0.71 1.80 8 2 3 3 1 6 0 8 7 0 0
Florida 18 West GulfofMex 82 27 16.9 24.4 1.6 9.5 13 1.44 0.73 1.88 8 0 3 2 3 5 0 8 0 0 0
Florida 18 West GulfofMex 82 27 14.3 20.4 1 8 10.8 1.43 0.74 1.89 8 3 1 3 1 5 0 7 6 0 6
Florida 18 West GulfofMex 82 27 12.4 17.5 0.5 6.9 9.5 1.41 0.73 1.84 7 2 3 4 1 4 0 6 6 0 0
Florida 18 West GulfofMex 82 27 12.5 17.3 0.9 6.9 9.4 1.38 0.73 1.84 8 2 3 3 2 5 0 7 7 0 0
Florida 18 West GulfofMex 82 27 18.4 26.2 1.5 10 14.2 1.42 0.70 1.85 8 0 3 4 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 13.1 18.3 1.2 7.3 9.9 1.40 0.74 1.85 8 2 4 4 1 5 0 7 5 0 0
Florida 18 West GulfofMex 82 27 18.8 28.8 1.9 10.7 15.1 1.53 0.71 1.91 7 0 2 5 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 13.1 18.4 1 7.6 10.1 1.40 0.75 1.82 8 3 2 2 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 12.2 16.8 0.9 7.3 9.7 1.38 0.75 1.73 7 2 2 4 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 17.2 24.4 1.7 9.5 12.7 1.42 0.75 1.92 8 0 2 2 1 5 0 8 0 0 0
Florida 18 West GulfofMex 82 27 11.2 15.6 0.9 6.4 8.6 1.39 0.74 1.81 8 2 1 4 1 5 0 7 7 0 0
Florida 18 West GulfofMex 82 27 13.7 19.5 1.2 7.7 10.7 1.42 0.72 1.82 8 3 4 4 1 5 0 7 6 0 4
Florida 18 West GulfofMex 82 27 10.4 14.5 0.7 5.8 7.9 1.39 0.73 1.84 7 3 2 3 1 5 0 6 5 0 0
Florida 18 West GulfofMex 82 27 10.9 15 0.5 6.3 8.5 1.38 0.74 1.76 7 3 1 2 1 3 0 6 7 0 0
Florida 18 West GulfofMex 82 27 12.3 17.3 1.1 7.2 9.7 1.41 0.74 1.78 8 2 1 2 1 5 0 6 4 0 0
Florida 18 West GulfofMex 82 27 10.3 14.8 0.8 6.1 7.8 1.44 0.78 1.90 8 2 1 2 1 5 0 7 7 0 0
Florida 18 West GulfofMex 82 27 10.2 14.3 0.8 5.9 8 1.40 0.74 1.79 7 2 3 3 1 4 0 7 5 0 0
Florida 18 West GulfofMex 82 27 11.2 15.8 0.9 6.9 8.7 1.41 0.79 1.82 8 3 1 4 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 13.9 19.7 1 8.2 10.2 1.42 0.80 1.93 8 3 3 4 2 5 0 6 8 0 6
Florida 18 West GulfofMex 82 27 12.1 17 1 6.8 9.3 1.40 0.73 1.83 7 3 3 6 1 5 0 7 6 0 0
Florida 18 West GulfofMex 82 27 17.2 25.2 2.1 9.8 13 1.47 0.75 1.94 8 2 3 5 1 5 0 7 0 0 0
Florida 18 West GulfofMex 82 27 12.6 17.2 0.7 6.9 9.4 1.37 0.73 1.83 8 3 1 3 1 5 0 7 8 0 0
Florida 18 West GulfofMex 82 27 12 17.5 0.7 6.9 9.3 1.46 0.74 1.88 8 3 2 3 1 5 0 8 6 0 0
Florida 18 West GulfofMex 82 27 12.2 18 0.8 6.8 9.5 1.48 0.72 1.89 8 2 1 3 1 4 0 7 8 0 0
Florida 18 West GulfofMex 82 27 11.8 17.2 1 6.3 9.4 1.46 0.67 1.83 8 2 4 5 1 5 0 7 5 0 0
Florida 18 West GulfofMex 82 27 15.5 22.9 1.3 8.9 11.8 1.48 0.75 1.94 8 2 4 4 2 6 0 8 0 0 0
Florida 18 West GulfofMex 82 27 15.1 20.8 1.1 8.2 11.5 1.38 0.71 1.81 8 2 3 5 2 4 0 7 5 0 0
Florida 18 West GulfofMex 82 27 12.4 17.6 0.6 6.6 9.5 1.42 0.69 1.85 8 2 2 2 1 5 0 7 7 0 0
Florida 18 West GulfofMex 82 27 13 18.5 0.7 7.1 9.8 1.42 0.72 1.89 7 0 1 3 1 5 0 7 4 0 0
Florida 18 West GulfofMex 82 27 19.3 28.6 1.5 9.8 15 1.48 0.65 1.91 8 0 3 4 3 4 0 6 6 0 0
Florida 18 West GulfofMex 82 27 10.5 15 0.7 5.8 8.1 1.43 0.72 1.85 7 3 2 3 1 4 0 7 6 0 0
Florida 18 West GulfofMex 82 27 10.9 15.5 0.8 6.2 8.3 1.42 0.75 1.87 8 2 2 4 1 5 0 8 7 0 0
Florida 18 West GulfofMex 82 27 16.7 23.6 1.2 9.6 13 1.41 0.74 1.82 8 0 3 2 2 4 0 6 5 0 0
Florida 18 West GulfofMex 82 27 7.4 10.6 0.3 4.2 6 1.43 0.70 1.77 7 3 2 3 1 4 0 7 7 0 0
Florida 18 West GulfofMex 82 27 15.6 23.9 1.2 8.8 12 1.53 0.73 1.99 8 0 1 2 1 5 0 7 6 0 0
